No,TMNo,EnNo,Name,Column1,GMNo,Mode,IN/OUT,Antipass,DateTime
328,1,53,          ,1,1, ,0,3/12/2021 16:06,
329,1,2,          ,1,1, ,0,3/12/2021 16:06,
330,1,51,          ,1,1, ,0,3/12/2021 16:08,
331,1,4,          ,1,1, ,0,3/12/2021 16:08,
332,1,24,          ,1,1, ,0,3/12/2021 16:08,
333,1,36,          ,1,1, ,0,3/12/2021 16:10,
334,1,32,          ,1,1, ,0,3/12/2021 16:11,
335,1,10,          ,1,1, ,0,3/12/2021 16:12,
336,1,33,          ,1,1, ,0,3/12/2021 16:18,
337,1,45,          ,1,1, ,0,3/12/2021 16:18,
338,1,3,          ,1,1, ,0,3/12/2021 16:26,
339,1,18,          ,1,1, ,0,3/15/2021 6:06,
340,1,5,          ,1,1, ,0,3/15/2021 6:07,
341,1,56,          ,1,1, ,0,3/15/2021 6:29,
342,1,16,          ,1,1, ,0,3/15/2021 6:30,
343,1,25,          ,1,1, ,0,3/15/2021 6:41,
344,1,21,          ,1,1, ,0,3/15/2021 6:53,
345,1,38,          ,1,1, ,0,3/15/2021 7:03,
346,1,32,          ,1,1, ,0,3/15/2021 7:04,
347,1,14,          ,1,1, ,0,3/15/2021 7:05,
348,1,9,          ,1,1, ,0,3/15/2021 7:06,
349,1,9,          ,1,1, ,0,3/15/2021 7:06,
350,1,59,          ,1,1, ,0,3/15/2021 7:06,
351,1,59,          ,1,1, ,0,3/15/2021 7:06,
352,1,58,          ,1,1, ,0,3/15/2021 7:06,
353,1,45,          ,1,1, ,0,3/15/2021 7:06,
354,1,43,          ,1,1, ,0,3/15/2021 7:08,
355,1,11,          ,1,1, ,0,3/15/2021 7:09,
356,1,55,          ,1,1, ,0,3/15/2021 7:09,
357,1,34,          ,1,1, ,0,3/15/2021 7:09,
358,1,53,          ,1,1, ,0,3/15/2021 7:09,
359,1,37,          ,1,1, ,0,3/15/2021 7:09,
360,1,24,          ,1,1, ,0,3/15/2021 7:10,
361,1,15,          ,1,1, ,0,3/15/2021 7:11,
362,1,17,          ,1,1, ,0,3/15/2021 7:11,
363,1,17,          ,1,1, ,0,3/15/2021 7:11,
364,1,17,          ,1,1, ,0,3/15/2021 7:11,
365,1,54,          ,1,1, ,0,3/15/2021 7:12,
366,1,30,          ,1,1, ,0,3/15/2021 7:12,
367,1,20,          ,1,1, ,0,3/15/2021 7:12,
368,1,52,          ,1,1, ,0,3/15/2021 7:13,
369,1,7,          ,1,1, ,0,3/15/2021 7:13,
370,1,1,          ,1,1, ,0,3/15/2021 7:13,
371,1,3,          ,1,1, ,0,3/15/2021 7:14,
372,1,36,          ,1,1, ,0,3/15/2021 7:15,
373,1,23,          ,1,1, ,0,3/15/2021 7:15,
374,1,50,          ,1,1, ,0,3/15/2021 7:16,
375,1,31,          ,1,1, ,0,3/15/2021 7:16,
376,1,26,          ,1,1, ,0,3/15/2021 7:16,
377,1,10,          ,1,1, ,0,3/15/2021 7:18,
378,1,8,          ,1,1, ,0,3/15/2021 7:20,
379,1,33,          ,1,1, ,0,3/15/2021 7:20,
380,1,48,          ,1,1, ,0,3/15/2021 7:23,
381,1,35,          ,1,1, ,0,3/15/2021 7:23,
382,1,6,          ,1,1, ,0,3/15/2021 7:24,
383,1,4,          ,1,1, ,0,3/15/2021 7:24,
384,1,4,          ,1,1, ,0,3/15/2021 7:24,
385,1,12,          ,1,1, ,0,3/15/2021 7:26,
386,1,44,          ,1,1, ,0,3/15/2021 7:27,
387,1,39,          ,1,1, ,0,3/15/2021 7:28,
388,1,46,          ,1,1, ,0,3/15/2021 7:28,
389,1,49,          ,1,1, ,0,3/15/2021 7:29,
390,1,13,          ,1,1, ,0,3/15/2021 7:33,
391,1,29,          ,1,1, ,0,3/15/2021 7:33,
392,1,57,          ,1,1, ,0,3/15/2021 7:39,
393,1,51,          ,1,1, ,0,3/15/2021 7:42,
394,1,19,          ,1,1, ,0,3/15/2021 7:44,
395,1,45,          ,1,1, ,0,3/15/2021 12:00,
396,1,46,          ,1,1, ,0,3/15/2021 12:00,
397,1,19,          ,1,1, ,0,3/15/2021 12:00,
398,1,33,          ,1,1, ,0,3/15/2021 12:00,
399,1,34,          ,1,1, ,0,3/15/2021 12:00,
400,1,13,          ,1,1, ,0,3/15/2021 12:00,
401,1,13,          ,1,1, ,0,3/15/2021 12:00,
402,1,7,          ,1,1, ,0,3/15/2021 12:00,
403,1,38,          ,1,1, ,0,3/15/2021 12:00,
404,1,10,          ,1,1, ,0,3/15/2021 12:00,
405,1,44,          ,1,1, ,0,3/15/2021 12:00,
406,1,49,          ,1,1, ,0,3/15/2021 12:00,
407,1,57,          ,1,1, ,0,3/15/2021 12:00,
408,1,48,          ,1,1, ,0,3/15/2021 12:00,
409,1,8,          ,1,1, ,0,3/15/2021 12:00,
410,1,32,          ,1,1, ,0,3/15/2021 12:00,
411,1,53,          ,1,1, ,0,3/15/2021 12:01,
412,1,20,          ,1,1, ,0,3/15/2021 12:01,
